product_name,price,metadata,product_id,image_download
Lover Lover Tee | White,54.95,INTRODUCING MADISON SPORTS LUXE RANGE,1562113266,OK
Madi Hoodie | Midnight,99.95,INTRODUCING MADISON SPORTS LUXE RANGE,1585784195,OK
Madi Drop Crotch Pants | Midnight,79.95,INTRODUCING MADISON SPORTS LUXE RANGE,1585784140,OK
Dillon Drop Crotch Pants | Black,84.95,INTRODUCING MADISON SPORTS LUXE RANGE,1585784369,OK
Dillon Sweater | Black,99.95,INTRODUCING MADISON SPORTS LUXE RANGE,1562115371,OK
Ryder Skirt | Acid,74.95,"The Ryder Skirt. feature a high waisted silhouette, button up closure and belt loops.",1579052699,OK
Palmer Jeans | Denim,84.95,"The Palmer jeans feature an elasticated paperbag waistband, two front pockets and loose fitting leg.",1579052921,OK
Indi Satin Skirt | Black,84.95,The Indi Satin Skirt features an elasticated waistband and midi length.,1579052078,OK
Indi Satin Skirt | Peacock,84.95,The Indi Satin Skirt features an elasticated waistband and midi length.,1578458805,OK
Elsie Satin Pants | Black,99.95,The Elsie Satin Pants features a highwaisted silhouette with side zip closure.,1578458939,OK
Elsie Satin Pants | Brick,99.95,The Elsie Satin Pants features a highwaisted silhouette with side zip closure.,1578459018,OK
Odette Dress | Pink,89.95,"The Odette dress features a sweet heart neckline, elasticated shoulder straps and buttons down the front. Perfect for those upcoming festive events.",1576469097,OK
Lainey Playsuit | Pink,89.95,"The Lainey Playsuit features a sweet heart neckline, button up closure and adjustable shoulder straps.",1576470175,OK
Lainey Playsuit | Fuchsia,89.95,"The Lainey Playsuit features a sweet heart neckline, button up closure and adjustable shoulder straps.",1576470390,OK
Kiara Dress | Pink,89.95,"The Kiara Dress features a straight neckline, thin adjustable shoulder straps and open back with tie up detailing.",1576470960,OK
Kiara Dress | White,89.95,"The Kiara Dress features a straight neckline, thin adjustable shoulder straps and open back with tie up detailing.",1576471292,OK
