date,skip,in_promotion,target
2017-06-11,FALSE,TRUE,2099
2017-06-12,FALSE,TRUE,3294
2017-06-13,FALSE,TRUE,4486
2017-06-14,FALSE,TRUE,2562
2017-06-15,FALSE,TRUE,3525
2017-06-16,FALSE,TRUE,3461
2017-06-17,FALSE,TRUE,2498
2017-06-18,FALSE,TRUE,3058
2017-06-19,FALSE,TRUE,4401
2017-06-20,FALSE,TRUE,4477
2017-06-21,FALSE,TRUE,4361
2017-06-22,FALSE,TRUE,3366
2017-06-23,FALSE,FALSE,1534
2017-06-24,FALSE,FALSE,855
2017-06-25,TRUE,FALSE,?
2017-06-26,FALSE,FALSE,1654
2017-06-27,FALSE,FALSE,1606
2017-06-28,FALSE,FALSE,1456
2017-06-29,FALSE,FALSE,1465
2017-06-30,FALSE,FALSE,825
2017-07-01,FALSE,FALSE,497
2017-07-02,TRUE,FALSE,?
2017-07-03,FALSE,FALSE,1839
2017-07-04,FALSE,FALSE,1543
2017-07-05,FALSE,FALSE,1801
2017-07-06,FALSE,FALSE,1485
2017-07-07,FALSE,FALSE,811
2017-07-08,FALSE,FALSE,578
2017-07-09,TRUE,FALSE,?
2017-07-10,FALSE,FALSE,1400
2017-07-11,FALSE,FALSE,1231
2017-07-12,FALSE,FALSE,1266
2017-07-13,FALSE,FALSE,998
2017-07-14,FALSE,FALSE,1117
2017-07-15,FALSE,FALSE,552
2017-07-16,TRUE,FALSE,?
2017-07-17,FALSE,FALSE,1433
2017-07-18,FALSE,FALSE,1249
2017-07-19,FALSE,FALSE,2699
2017-07-20,FALSE,FALSE,1213
2017-07-21,FALSE,FALSE,691
2017-07-22,FALSE,FALSE,609
2017-07-23,TRUE,FALSE,?
2017-07-24,FALSE,FALSE,1486
2017-07-25,FALSE,FALSE,1161
2017-07-26,FALSE,FALSE,1384
2017-07-27,FALSE,FALSE,1316
2017-07-28,FALSE,FALSE,604
2017-07-29,FALSE,FALSE,374
2017-07-30,TRUE,FALSE,?
